證券代碼,年月,營收成長率,ROE(A)－稅後
2760 巨宇翔,202506,50.05,-8.74
2761 橘焱胡同,202506,16.66,-2.9
2762 世界健身-KY,202506,10.03,2.68
2801 彰銀,202506,12.67,2.45
2807 渣打銀行,202506,-11.94,1.68
2809 京城銀,202506,-16.91,1.67
2812 台中銀,202506,-5.32,2.42
2816 旺旺保,202506,-1.38,2.66
2820 華票,202506,98.41,2.2
2823 凱基人壽,202506,-23.53,-3.11
2832 台產,202506,-7.42,1.81
2833 台壽,202506,-19.97,1.06
2834 臺企銀,202506,9.65,2.58
2836 高雄銀,202506,11.63,1.29
2837 凱基銀行,202506,7.4,2.24
2838 聯邦銀,202506,-0.27,1.77
2845 遠東銀,202506,-6.77,1.27
2848 華南保,202506,2.44,5.33
2849 安泰銀,202506,-1.59,0.94
2850 新產,202506,4.27,5.25
2851 中再保,202506,-27.57,0.93
2852 第一保,202506,-6.67,2.52
2855 統一證,202506,-35.8,1.7
2856 元富證,202506,-38.26,1.61
2867 三商壽,202506,-136.94,-2.5
2880 華南金,202506,-6.14,2.85
2881 富邦金,202506,-95.53,1.15
2882 國泰金,202506,-65.63,1.64
2883 凱基金,202506,-103.02,-1.14
2884 玉山金,202506,16.27,3.11
2885 元大金,202506,-15.11,2.75
2886 兆豐金,202506,-2.35,2.76
2887 台新新光金,202506,-6.5,2.48
2889 國票金,202506,-29.39,0.45
2890 永豐金,202506,4.69,2.6
2891 中信金,202506,12.9,3.26
2892 第一金,202506,5.64,2.5
2893 新光銀行,202506,1.74,2.68
2897 王道銀行,202506,1.93,1.45
2901 欣欣,202506,2.38,0.68
2903 遠百,202506,-3.95,1.29
2904 匯僑,202506,3.16,1.83
2905 三商,202506,31.77,-1.56
2906 高林,202506,-14.16,0.93
2908 特力,202506,-14.47,-1.35
2910 統領,202506,-35.54,0.78
2911 麗嬰房,202506,-15.14,-24.62
2912 統一超,202506,5.48,7.27
2913 農林,202506,22.25,-0.26
2915 潤泰全,202506,-1.74,1
2916 滿心,202506,2.69,4.09
2920 海景,202506,-4.82,-1.75
2923 鼎固-KY,202506,0.5,-1.25
2924 宏太-KY,202506,-79.56,-2.71
2926 誠品生活,202506,0.72,0.51
2929 淘帝-KY,202506,-8.77,-0.66
2937 集雅社,202506,12.24,2.57
2938 床的世界,202506,-18.02,0.19
2939 永邑-KY,202506,-0.31,-16.42
2940 歐都納,202506,-6.6,0.02
2941 米斯特,202506,18.64,3.89
2942 京站,202506,-0.75,8.13
2945 三商家購,202506,4.55,1.34
2947 振宇五金,202506,5.69,1.58
2948 寶陞,202506,6.82,1.77
2949 欣新網,202506,23.48,2.29
3002 歐格,202506,12.43,1.83
3003 健和興,202506,1.82,-1.13
3004 豐達科,202506,13.98,2.39
3005 神基,202506,13.35,6
3006 晶豪科,202506,-8.14,-7.62
3008 大立光,202506,6.26,0.58
3010 華立,202506,-4.39,2.15
3011 今皓,202506,-31.65,-0.73
3013 晟銘電,202506,0.84,2.45
3014 聯陽,202506,18.96,6.4
3015 全漢,202506,27.29,0.28
3016 嘉晶,202506,-8.91,-0.87
3017 奇鋐,202506,79.54,12.67
3018 隆銘綠能,202506,-65.25,-6.8
3019 亞光,202506,23.04,5.47
3021 鴻名,202506,-4.74,0.58
3022 威強電,202506,1.74,-2.69
3023 信邦,202506,-6.86,4.96
3024 憶聲,202506,16.87,0.83
3025 星通,202506,-23.85,-0.36
3026 禾伸堂,202506,1.01,2.45
3027 盛達,202506,67.46,-2.07
3028 增你強,202506,6.25,0.51
3029 零壹,202506,41.89,5.4
3030 德律,202506,37.69,6.14
3031 佰鴻,202506,-19.14,3.86
3032 偉訓,202506,40.01,-16.25
3033 威健,202506,26.28,-1.63
3034 聯詠,202506,3.65,5.63
3035 智原,202506,70.32,0.27
3036 文曄,202506,6.51,3.02
3037 欣興,202506,16.46,0.27
3038 全台,202506,-16.85,-1.37
3040 遠見,202506,-1.8,-0.44
3041 揚智,202506,-37.75,-5.15
3042 晶技,202506,15.19,2.33
3043 科風,202506,10.37,-4.33
3044 健鼎,202506,13.32,4.98
3045 台灣大,202506,-0.57,3.96
3046 建碁,202506,-8.48,4.26
3047 訊舟,202506,-54.11,-4.59
3048 益登,202506,10.1,-0.05
3049 精金,202506,10.19,-2.38
3050 鈺德,202506,3.7,-1.2
3051 力特,202506,6.35,-0.94
3052 夆典,202506,53.23,1.9
3054 立萬利,202506,37.1,0.23
3055 蔚華科,202506,25.83,-5.53
3056 富華新,202506,228.37,0.14
3057 喬鼎,202506,12.35,-10.48
3058 立德,202506,-4.19,4.59
3059 華晶科,202506,30.4,1.55
3060 銘異,202506,3.09,-3.07
3062 建漢,202506,52.53,-3.42
3064 泰偉,202506,2.15,-16.16
3066 李洲,202506,-7.46,-7.8
3067 全域,202506,269.27,-6.69
3071 協禧,202506,-9,2.06
3073 天方能源,202506,69.42,-0.7
3078 僑威,202506,46.23,5.71
3081 聯亞,202506,102.9,2.53
3083 網龍,202506,-33.6,-0.67
3085 新零售,202506,25.5,-2.12
